what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228774534968
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228774542937
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228774544046
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228774689343
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228774690921
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228774791859
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228774794796
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228774871125
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228774871578
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228774872468
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228774872578
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228774875828
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228774879328
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228775355328
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228775356203
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228775737953
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228776243078
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228776243953
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228776253578
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228777423281
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.1.R34x_v20080818,org.eclipse.equinox.p2.ui.sdk.update,1228777423359
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228777423703
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228777448296
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228777451843
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228777797781
