what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228777933828
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228777979828
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.1.R34x_v20080818,org.eclipse.equinox.p2.ui.sdk.update,1228777979843
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228777993234
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228777993343
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228779110203
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228779132375
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228779132906
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228779132968
started,bundle,org.eclipse.ecf.filetransfer,2.0.0.v20080611-1715,org.eclipse.ecf.filetransfer,1228779145109
started,bundle,org.eclipse.ecf.provider.filetransfer,2.0.0.v20080611-1715,org.eclipse.ecf.provider.filetransfer,1228779145109
started,bundle,org.eclipse.ecf.identity,2.0.0.v20080611-1715,org.eclipse.ecf.identity,1228779145140
started,bundle,org.eclipse.ecf,2.0.0.v20080611-1715,org.eclipse.ecf,1228779145781
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228779201375
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.1.R34x_v20080818,org.eclipse.equinox.p2.ui.sdk.update,1228779201468
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228779210031
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228779229093
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228779233500
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228779251640
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.1.R34x_v20080818,org.eclipse.equinox.p2.ui.sdk.update,1228779251671
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228779269062
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228782493703
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228782495234
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228782495250
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228782539156
