what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228782549656
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228782560312
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228782623140
started,bundle,org.eclipse.wst.sse.core,1.1.302.v200808260045,org.eclipse.wst.sse.core,1228782636218
started,bundle,org.eclipse.wst.sse.ui,1.1.2.v200809120159,org.eclipse.wst.sse.ui,1228782637734
started,bundle,org.eclipse.php.ui,2.0.0.v20081204-0930,org.eclipse.php.ui,1228782638390
started,bundle,org.eclipse.wst.xml.ui,1.0.410.v200809120143,org.eclipse.wst.xml.ui,1228782652718
started,bundle,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.ui,1228782652968
started,bundle,org.eclipse.wst.html.core,1.1.202.v200808281704,org.eclipse.wst.html.core,1228782656187
started,bundle,org.eclipse.wst.xml.core,1.1.305.v200809120354,org.eclipse.wst.xml.core,1228782656640
started,bundle,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui,1228782716437
started,bundle,org.eclipse.wst.css.core,1.1.201.v200808072008,org.eclipse.wst.css.core,1228782717500
started,bundle,org.eclipse.wst.common.uriresolver,1.1.301.v200805140415,org.eclipse.wst.common.uriresolver,1228782717656
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.1.v200807241900,org.eclipse.wst.jsdt.web.ui,1228782718265
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.1.v200807241900,org.eclipse.wst.jsdt.web.core,1228782718484
started,bundle,org.eclipse.wst.css.ui,1.0.301.v200807170605,org.eclipse.wst.css.ui,1228782722953
started,bundle,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search,1228782729015
started,bundle,org.eclipse.wst.dtd.ui,1.0.301.v200808072012,org.eclipse.wst.dtd.ui,1228782729578
started,bundle,org.eclipse.wst.validation,1.2.2.v200809050219,org.eclipse.wst.validation,1228782730359
opened,editor,org.eclipse.php.ui,2.0.0.v20081204-0930,org.eclipse.php.editor,1228782731093
activated,editor,org.eclipse.php.ui,2.0.0.v20081204-0930,org.eclipse.php.editor,1228782733359
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.edit.text.openLocalFile,1228782733359
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228782733375
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228782733390
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1228782744562
